import time: self [us] | cumulative | imported package
import time:      6807 |       6807 |                     torch.__future__
import time:     11602 |      18409 |                   torch.nn.utils.parametrize
import time:     16456 |      34864 |                 torch.nn.utils.parametrizations
import time:     11542 |      11542 |                 torch.nn.utils.rnn
import time:     11190 |      11190 |                   torch.nn.utils._named_member_accessor
import time:     12735 |      23925 |                 torch.nn.utils.stateless
import time:      6726 |       6726 |                   torch.utils._foreach_utils
import time:     11690 |      18416 |                 torch.nn.utils.clip_grad
import time:     10225 |      10225 |                 torch.nn.utils.convert_parameters
import time:     10524 |      10524 |                 torch.nn.utils.fusion
import time:      8915 |       8915 |                 torch.nn.utils.init
import time:      9723 |       9723 |                 torch.nn.utils.memory_format
import time:     10605 |      10605 |                 torch.nn.utils.spectral_norm
import time:      9314 |       9314 |                 torch.nn.utils.weight_norm
import time:     17513 |     165562 |               torch.nn.utils
import time:       649 |     166211 |             torch.nn.utils.rnn
import time:     54898 |     221108 |           torch.nn.modules.rnn
import time:     10985 |      10985 |           torch.nn.modules.sparse
import time:     11415 |      11415 |           torch.nn.modules.transformer
import time:      9761 |       9761 |           torch.nn.modules.upsampling
import time:     21859 |    2332482 |         torch.nn.modules
import time:     17899 |      17899 |               torch.backends.cpu
import time:     14798 |      14798 |               torch.backends.cuda
import time:     13486 |      13486 |               torch.backends.cudnn
import time:     12537 |      12537 |               torch.backends.cusparselt
import time:     13077 |      13077 |               torch.backends.mha
import time:     14787 |      14787 |               torch.backends.mkl
import time:     12960 |      12960 |               torch.backends.mkldnn
import time:      9425 |       9425 |                       torch._library.utils
import time:     12669 |      22093 |                     torch._library.autograd
import time:      7432 |       7432 |                     torch._library.fake_impl
import time:      8093 |       8093 |                     torch._library.simple_registry
import time:      8285 |       8285 |                     torch._library.fake_class_registry
import time:      8368 |       8368 |                       torch._library.custom_ops
import time:      8049 |       8049 |                       torch._library.infer_schema
import time:      7385 |      23802 |                     torch._library.triton
import time:     12914 |      82616 |                   torch._library
import time:      7329 |      89945 |                 torch.library
import time:     12611 |     102555 |               torch.backends.mps
import time:     13231 |      13231 |               torch.backends.nnpack
import time:     14596 |      14596 |               torch.backends.openmp
import time:     14700 |      14700 |               torch.backends.quantized
import time:     12382 |     257001 |             torch.backends
import time:       208 |     257208 |           torch.backends.cuda
import time:     12403 |     269610 |         torch.nn.attention
import time:     11248 |      11248 |             torch.nn.parallel.parallel_apply
import time:      9518 |       9518 |                 torch.cuda.nccl
import time:     12541 |      22058 |               torch.nn.parallel.comm
import time:     12132 |      34189 |             torch.nn.parallel.replicate
import time:     11894 |      11894 |               torch.nn.parallel._functions
import time:     13715 |      25608 |             torch.nn.parallel.scatter_gather
import time:     19387 |      90431 |           torch.nn.parallel.data_parallel
import time:     19172 |      19172 |                 torch.distributed.algorithms.join
import time:     18279 |      37450 |               torch.distributed.algorithms
import time:       206 |      37655 |             torch.distributed.algorithms.join
import time:      9276 |       9276 |             torch.distributed.utils
import time:     17183 |      64113 |           torch.nn.parallel.distributed
import time:     15618 |     170161 |         torch.nn.parallel
import time:     10933 |    2794267 |       torch.nn
import time:       238 |    2794505 |     torch.nn.functional
import time:      6783 |       6783 |       torch._linalg_utils
import time:      6456 |      13239 |     torch._lowrank
import time:     38168 |    2845910 |   torch.functional
import time:      6316 |       6316 |   torch.__config__
import time:     19957 |      19957 |       torch.cpu.amp.autocast_mode
import time:     12002 |      12002 |       torch.cpu.amp.grad_scaler
import time:     17204 |      49162 |     torch.cpu.amp
import time:     14509 |      63671 |   torch.cpu
import time:      9100 |       9100 |       torch.distributions.constraints
import time:      8628 |       8628 |       torch.distributions.utils
import time:     18889 |      36616 |     torch.distributions.transforms
import time:     11039 |      11039 |         torch.distributions.distribution
import time:      8915 |      19953 |       torch.distributions.exp_family
import time:      8669 |      28622 |     torch.distributions.bernoulli
import time:     10181 |      10181 |       torch.distributions.dirichlet
import time:      8723 |      18904 |     torch.distributions.beta
import time:     10786 |      10786 |     torch.distributions.binomial
import time:      7698 |       7698 |     torch.distributions.categorical
import time:      9959 |       9959 |     torch.distributions.cauchy
import time:     10106 |      10106 |       torch.distributions.gamma
import time:      8016 |      18121 |     torch.distributions.chi2
import time:     10118 |      10118 |     torch.distributions.constraint_registry
import time:      9947 |       9947 |     torch.distributions.continuous_bernoulli
import time:      8818 |       8818 |     torch.distributions.exponential
import time:      8324 |       8324 |     torch.distributions.fishersnedecor
import time:      9115 |       9115 |     torch.distributions.geometric
import time:      9058 |       9058 |         torch.distributions.independent
import time:      9756 |      18813 |       torch.distributions.transformed_distribution
import time:      9286 |       9286 |       torch.distributions.uniform
import time:     10738 |      38837 |     torch.distributions.gumbel
import time:      9188 |       9188 |     torch.distributions.half_cauchy
import time:     12234 |      12234 |       torch.distributions.normal
import time:      9067 |      21300 |     torch.distributions.half_normal
import time:      8989 |       8989 |     torch.distributions.inverse_gamma
import time:      9189 |       9189 |       torch.distributions.laplace
import time:      9001 |       9001 |         torch.distributions.multivariate_normal
import time:     10022 |      19023 |       torch.distributions.lowrank_multivariate_normal
import time:      9370 |       9370 |       torch.distributions.one_hot_categorical
import time:      8498 |       8498 |       torch.distributions.pareto
import time:      8552 |       8552 |       torch.distributions.poisson
